mine_id,mine_name,state,district,latitude,longitude,location_accuracy,mining_method,key_mineralogy,annual_report_ref,established_year,remarks
chikla,Chikla Mine,Maharashtra,Bhandara,21.5562,79.7523,Approximate public location,Underground & Opencast,"Braunite, Pyrolusite, Psilomelane",MOIL Annual Report 2023-24 (Tumsar-Bhandara Belt),1901,High-grade Gondite belt deposit near Tumsar
dongri_buzurg,Dongri Buzurg Mine,Maharashtra,Bhandara,21.5714,79.6892,Approximate public location,Opencast,"Pyrolusite, Cryptomelane, Braunite",MOIL Annual Report 2023-24 (Bhandara District),1902,Produces high-dioxide manganese ore used in dry batteries
beldongri,Beldongri Mine,Maharashtra,Nagpur,21.3621,79.2941,Approximate public location,Opencast,"Braunite, Quartzite Intercalations",MOIL Annual Report 2023-24 (Ramtek-Nagpur Belt),1902,Southern extension of the Mansar-Kandri ore zone
kandri,Kandri Mine,Maharashtra,Nagpur,21.4312,79.2745,Approximate public location,Opencast & Underground,"Braunite, Gondite Host Rock",MOIL Annual Report 2023-24 (Ramtek Tehsil),1900,High-grade manganese ore body with substantial underground reserves
munsar,Munsar Mine,Maharashtra,Nagpur,21.4019,79.2933,Approximate public location,Underground & Opencast,"Braunite, Holandite, Pyrolusite",MOIL Annual Report 2023-24 (Ramtek Belt),1901,Historic mine working the Mansar manganese syncline
gumgaon,Gumgaon Mine,Maharashtra,Nagpur,21.3911,78.9842,Approximate public location,Deep Underground,"Braunite, Jacobsite, Gondite",MOIL Annual Report 2023-24 (Sausar-Nagpur Belt),1903,Deep shaft underground mine west of Nagpur
balaghat,Balaghat Mine,Maharashtra/MP Border (MP),Balaghat,21.8745,80.2014,Approximate public location,Deep Underground,"Braunite, Pyrolusite, Bixbyite",MOIL Annual Report 2023-24 (Bharweli Deposit),1901,MOIL's flagship deep underground mine (Bharweli), premier ore grade
ukwa,Ukwa Mine,Madhya Pradesh,Balaghat,21.9688,80.4721,Approximate public location,Underground,"Braunite, Sericite Schist",MOIL Annual Report 2023-24 (Baihar-Ukwa Belt),1907,Continuous tabular manganese bed deposit in eastern Balaghat
tirodi,Tirodi Mine,Madhya Pradesh,Balaghat,21.6811,79.7124,Approximate public location,Opencast & Underground,"Braunite, Spessartine, Rhodonite",MOIL Annual Report 2023-24 (Tirodi-Balaghat Belt),1901,Prolific opencast and underground producer with gondite associations
sitapatore,Sitapatore Mine,Madhya Pradesh,Balaghat,21.5432,79.7410,Approximate public location,Opencast & Underground,"Braunite, Pyrolusite, Psilomelane",MOIL Annual Report 2023-24 (Sukli-Sitapatore Belt),1904,Interconnected deposit with Sukli ore formation near Maharashtra border
